date,r_m
1995-01-04,0.021769706820028656
1995-01-05,-0.010584114651045362
1995-01-06,-0.00947610876656002
1995-01-09,-0.023035145764404796
1995-01-10,-0.02507987220447294
1995-01-11,0.004637063739144853
1995-01-12,-0.017957040105687216
1995-01-13,-0.007108217631036973
1995-01-16,-0.015104375752709953
1995-01-17,-0.0014775564273702413
1995-01-18,0.009694866823145132
1995-01-19,-0.03692473552995079
1995-01-20,-0.0008395718183726864
1995-01-23,-0.031160282893354707
1995-01-24,-0.01060638912980627
1995-01-25,0.014975254305385377
1995-01-26,-0.004786152545117495
1995-01-27,0.01713944784943333
1995-02-06,-0.05131623384702888
1995-02-07,-0.0023045791800944126
1995-02-08,0.0023662416195608937
1995-02-09,0.03674004683840759
1995-02-10,-0.02164955905739485
1995-02-13,0.01377960028076397
1995-02-14,-0.0013300779826543874
1995-02-15,-0.00961485833135678
1995-02-16,-0.008234470562228369
1995-02-17,-0.008562884261753112
1995-02-20,0.0022482014388489624
1995-02-21,0.011552265589950483
1995-02-22,0.09886535831762577
1995-02-23,-0.009266110587918708
1995-02-24,-0.05211073956512158
1995-02-27,0.005085686657235522
1995-02-28,-0.021397901188376367
1995-03-01,0.014018861741251998
1995-03-02,0.006984343579431229
1995-03-03,0.02918783988588758
1995-03-06,0.06770382176639744
1995-03-07,0.027032289469414383
1995-03-08,-0.019195525783619938
1995-03-09,-0.0245163576617643
1995-03-10,-0.03186974685843569
1995-03-13,-0.00010233843319851221
1995-03-14,0.003428688398751323
1995-03-15,-0.026587787297701615
1995-03-16,0.012713936430317707
1995-03-17,0.02352210802234933
1995-03-20,-0.01359684593610988
1995-03-21,0.011102570672132606
1995-03-22,0.036742968156094236
1995-03-23,-0.004187713866710241
1995-03-24,0.001047240358025281
1995-03-27,0.02875263579449805
1995-03-28,-0.004464853184187212
1995-03-29,0.01691804325273316
1995-03-30,0.0
1995-03-31,0.015333908812681374
1995-04-03,0.015396030421072293
1995-04-04,0.004993301668493544
1995-04-05,-0.015844643722733753
1995-04-06,0.014406649222717949
1995-04-07,0.02224380177829044
1995-04-10,-0.009395594609036495
1995-04-11,-0.03942222688383101
1995-04-12,0.0057091158669744235
1995-04-13,-0.01858113348016255
1995-04-14,0.011505152032366128
1995-04-17,-0.013717892631710527
1995-04-18,-0.009092925260589912
1995-04-19,0.009576032740759688
1995-04-20,0.021678199870152515
1995-04-21,-0.014274643521388741
1995-04-24,-0.02556643972389505
1995-04-25,0.0001774966517678056
1995-04-26,-0.02905588538977799
1995-04-27,-0.04738879750095559
1995-04-28,0.011546981563203218
1995-05-02,0.00025865190626461754
1995-05-03,0.0005171700455108841
1995-05-04,-0.01581722319859391
1995-05-05,0.005199579831932644
1995-05-08,-0.004632774265461381
1995-05-09,0.012230757117110747
1995-05-10,-0.023094209161624968
1995-05-11,0.005166861308702142
1995-05-12,0.02953913319015622
1995-05-15,-0.004856028999384532
1995-05-16,-0.005412371134020599
1995-05-17,0.006979355618899508
1995-05-18,0.3098697867522173
1995-05-19,0.12088905187882282
1995-05-22,0.04862060504083843
1995-05-23,-0.16393661830580997
1995-05-24,-0.011155537784886094
1995-05-25,-0.06076044909897149
1995-05-26,0.04415584415584406
1995-05-29,-0.023405074077128107
1995-05-30,0.0005769853220563004
1995-05-31,-0.014753867791842512
1995-06-01,0.01164865597921505
1995-06-02,0.011500416272736347
1995-06-05,-0.03512736809798844
1995-06-06,-0.0036290555780463807
1995-06-07,0.0396441890499617
1995-06-08,-0.028641217112150286
1995-06-09,0.009613035793829994
1995-06-12,-0.005550653269192463
1995-06-13,0.0003291733455461632
1995-06-14,-0.013920881321982992
1995-06-15,-0.061475290908563296
1995-06-16,-0.00047924557470824247
1995-06-19,-0.01172394592755266
1995-06-20,0.002660573431826574
1995-06-21,0.017403927200074998
1995-06-22,-0.011260950276921089
1995-06-23,0.008797926978757697
1995-06-26,0.0050143046113144685
1995-06-27,-0.0053106825834099425
1995-06-28,-0.0035234563722246204
1995-06-29,-0.005743931813970815
1995-06-30,-0.020716859237172147
1995-07-03,-0.027593643946842716
1995-07-04,0.01213346814964611
1995-07-05,0.02483000870097629
1995-07-06,0.002735720013206988
1995-07-07,0.04548661743261673
1995-07-10,-0.000809862323404964
1995-07-11,-0.02559137848222859
1995-07-12,-0.00043130670527902204
1995-07-13,0.011157171256414689
1995-07-14,-0.005105539891793076
1995-07-17,0.06533394607843146
1995-07-18,0.028787116255661882
1995-07-19,-0.03422924790697024
1995-07-20,-0.000984109525601462
1995-07-21,0.0047225843836014025
1995-07-24,0.023588442240036978
1995-07-25,-0.008930583727743802
1995-07-26,-0.017709428920662962
1995-07-27,0.009549716402361463
1995-07-28,-0.0032964512985153016
1995-07-31,0.000186937390354025
1995-08-01,0.02853856660196974
1995-08-02,-0.021540396980710086
1995-08-03,0.004928641837740555
1995-08-04,0.00915500966678029
1995-08-07,0.01155124809827024
1995-08-08,-0.007728943850267456
1995-08-09,0.0069190069190070425
1995-08-10,0.024656426839126944
1995-08-11,0.013385023464599133
1995-08-14,0.0417992187814602
1995-08-15,-0.03176014327496679
1995-08-16,0.021530845797625986
1995-08-17,0.002331761456895176
1995-08-18,-0.015621547858860385
1995-08-21,-0.02425306628995416
1995-08-22,0.0010824560928748284
1995-08-23,-0.013475522396129036
1995-08-24,0.005425475071586083
1995-08-25,-0.008543980377461291
1995-08-28,-0.0026938618433711703
1995-08-29,-0.004878586588021205
1995-08-30,-0.008794039441613166
1995-08-31,0.011373003786343983
1995-09-01,0.0068658737066047415
1995-09-04,0.012416991383568332
